Date,expiryDate,Symbol,Type,CMP,strikePrice,Support,Dist_from_Support,Resistance,Dist_from_Resist,PCR,RSI,MACD,MACD_Signal,MACD_Hist,BB_HI,BB_MID,BB_LO
03-10-2025,28-10-2025,PGEL,Non-Hld,514.55,600,509.9,0.92,690.1,34.12,0.74,32.64,-23.14,-21.38,-1.76,598.63,549.13,499.63
03-10-2025,28-10-2025,PHOENIXLTD,Non-Hld,1558.8,1600,1505.6,3.54,1694.4,8.7,0.88,50.35,8.46,15.91,-7.45,1647.42,1575.56,1503.7
03-10-2025,28-10-2025,PIDILITIND,Non-Hld,1485.8,1500,1444,2.9,1556,4.73,0.74,42.49,-14.47,-8.7,-5.77,1572.76,1515.93,1459.1
03-10-2025,28-10-2025,PIIND,Non-Hld,3621.1,3600,3433.6,5.47,3766.4,4.02,0.65,43.81,-70.69,-70.29,-0.4,3812.84,3651.14,3489.43
03-10-2025,28-10-2025,PNB,Non-Hld,114.3,115,109.05,4.82,120.95,5.82,1.11,64.07,1.74,1.46,0.28,116.24,109.68,103.12
03-10-2025,28-10-2025,PNBHOUSING,Non-Hld,890,900,833.75,6.75,966.25,8.57,0.6,59.73,13.85,8.64,5.21,917.82,849.87,781.92
03-10-2025,28-10-2025,POLICYBZR,Non-Hld,1701,1700,1585.7,7.28,1814.3,6.67,0.73,39.11,-35.45,-24.59,-10.86,1875.06,1770.52,1665.98
03-10-2025,28-10-2025,POLYCAB,Non-Hld,7385,7000,6467.6,14.19,7532.4,2,0.12,56.01,71.71,99.73,-28.02,7630.36,7364.18,7097.99
03-10-2025,28-10-2025,POWERGRID,Holding,288.65,300,284.2,1.57,315.8,9.41,0.58,55.97,-0.41,-0.26,-0.15,292.33,285.64,278.96
03-10-2025,28-10-2025,POWERINDIA,Non-Hld,18219,18000,16731.05,8.9,19268.95,5.77,0.42,37.84,-317.26,-193.89,-123.37,20364.52,19162.45,17960.38
03-10-2025,28-10-2025,PPLPHARMA,Non-Hld,198.23,210,193.9,2.24,226.1,14.06,0.95,51.6,-0.34,0.26,-0.6,208.94,199.21,189.47
03-10-2025,28-10-2025,PRESTIGE,Non-Hld,1534.3,1600,1493.25,2.75,1706.75,11.24,0.42,42.21,-19.67,-14.15,-5.52,1654.73,1566.18,1477.64
03-10-2025,28-10-2025,RBLBANK,Non-Hld,275.6,300,266.45,3.44,333.55,21.03,0.97,58.65,3.59,3.47,0.12,278.77,272.24,265.7
03-10-2025,28-10-2025,RECLTD,Non-Hld,380.5,380,360.1,5.67,399.9,5.1,0.78,53.92,0.19,0.11,0.07,389.36,376.62,363.89
03-10-2025,28-10-2025,RELIANCE,Non-Hld,1363.3,1400,1343.7,1.46,1456.3,6.83,0.45,39.57,-6.66,-3.97,-2.69,1416.47,1385.4,1354.34
03-10-2025,28-10-2025,RVNL,Non-Hld,347.2,400,338.55,2.56,461.45,32.91,0.5,52.85,1.75,2.41,-0.66,366.97,345.53,324.1
03-10-2025,28-10-2025,SAIL,Non-Hld,135.1,140,130.3,3.69,149.7,10.81,0.94,59.44,2.32,2.52,-0.2,138.24,133.15,128.05
03-10-2025,28-10-2025,SAMMAANCAP,Non-Hld,164.32,150,130.25,26.16,169.75,3.31,0.51,73.92,7.96,5.04,2.93,163.42,142.33,121.24
