Date,expiryDate,Symbol,Type,CMP,CMP_chg,CMP_pct_chg,CMP_trend,strikePrice,strikePrice_trend,Support,Support_chg,Support_pct_chg,Support_trend,Dist_from_Support,Dist_from_Support_trend,Resistance,Resistance_chg,Resistance_pct_chg,Resistance_trend,Dist_from_Resist,Dist_from_Resist_trend,PCR,PCR_trend,RSI,RSI_trend,MACD,MACD_trend,MACD_Signal,MACD_Signal_trend,MACD_Hist,MACD_Hist_trend,BB_HI,BB_HI_chg,BB_HI_pct_chg,BB_HI_trend,BB_MID,BB_MID_chg,BB_MID_pct_chg,BB_MID_trend,BB_LO,Sentiment,Call_B,Call_S,Puts_W,Puts_L,Call_W,Call_L,Puts_B,Puts_S,Tot_Strikes,BB-FnO
03-10-2025,28-Oct-25,COLPAL,Non-Hld,2214.5,,,unchanged,2300,unchanged,2182.1,,,unchanged,1.49,unchanged,2417.9,,,unchanged,9.19,unchanged,0.62,unchanged,34,unchanged,-29.75,unchanged,-12.17,unchanged,-17.59,unchanged,2459.66,,,unchanged,2324.31,,,unchanged,2188.96,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,CONCOR,Non-Hld,534.15,,,unchanged,530,unchanged,502.45,,,unchanged,6.31,unchanged,557.55,,,unchanged,4.39,unchanged,0.68,unchanged,42.38,unchanged,-7.09,unchanged,-5.67,unchanged,-1.42,unchanged,568.73,,,unchanged,543.04,,,unchanged,517.36,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,CROMPTON,Non-Hld,295,,,unchanged,300,unchanged,283.45,,,unchanged,4.08,unchanged,316.55,,,unchanged,7.31,unchanged,0.67,unchanged,30.45,unchanged,-8.4,unchanged,-6.89,unchanged,-1.51,unchanged,331.49,,,unchanged,308.74,,,unchanged,286,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,CUMMINSIND,Non-Hld,3929,,,unchanged,4000,unchanged,3805.75,,,unchanged,3.24,unchanged,4194.25,,,unchanged,6.76,unchanged,0.76,unchanged,49.62,unchanged,21.7,unchanged,51.21,unchanged,-29.5,unchanged,4139.54,,,unchanged,4004.32,,,unchanged,3869.11,,,,,,,,,,,Volatile Wide Range (BB within Res-Support)
03-10-2025,28-Oct-25,CYIENT,Non-Hld,1174.7,,,unchanged,1300,unchanged,1155.75,,,unchanged,1.64,unchanged,1444.25,,,unchanged,22.95,unchanged,0.85,unchanged,44.48,unchanged,-15.68,unchanged,-9.35,unchanged,-6.33,unchanged,1278.73,,,unchanged,1197.07,,,unchanged,1115.41,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,DABUR,Non-Hld,496,,,unchanged,500,unchanged,478.1,,,unchanged,3.75,unchanged,521.9,,,unchanged,5.23,unchanged,0.7,unchanged,33.43,unchanged,-8.82,unchanged,-3.93,unchanged,-4.89,unchanged,564.62,,,unchanged,524.37,,,unchanged,484.12,,,,,,,,,,,Mixed / Undefined
03-10-2025,28-Oct-25,DALBHARAT,Non-Hld,2250,,,unchanged,2400,unchanged,2231.3,,,unchanged,0.84,unchanged,2568.7,,,unchanged,14.17,unchanged,0.74,unchanged,37.18,unchanged,-29.76,unchanged,-7.04,unchanged,-22.71,unchanged,2522.28,,,unchanged,2354.33,,,unchanged,2186.38,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,DELHIVERY,Non-Hld,437.6,,,unchanged,450,unchanged,420.6,,,unchanged,4.05,unchanged,479.4,,,unchanged,9.56,unchanged,0.85,unchanged,37.05,unchanged,-5.73,unchanged,-0.99,unchanged,-4.74,unchanged,491.28,,,unchanged,462.39,,,unchanged,433.49,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,DIVISLAB,Non-Hld,5851.5,,,unchanged,6000,unchanged,5712.2,,,unchanged,2.44,unchanged,6287.8,,,unchanged,7.46,unchanged,0.58,unchanged,42.68,unchanged,-109.5,unchanged,-89.36,unchanged,-20.14,unchanged,6267.37,,,unchanged,5965.48,,,unchanged,5663.58,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,DIXON,Non-Hld,16597,,,unchanged,18000,unchanged,16366.2,,,unchanged,1.42,unchanged,19633.8,,,unchanged,18.3,unchanged,0.72,unchanged,36.04,unchanged,-110.72,unchanged,145.65,unchanged,-256.36,unchanged,19005.26,,,unchanged,17734.55,,,unchanged,16463.84,,,,,,,,,,,Volatile Wide Range (BB within Res-Support)
03-10-2025,28-Oct-25,DLF,Non-Hld,727.5,,,unchanged,740,unchanged,699.7,,,unchanged,3.98,unchanged,780.3,,,unchanged,7.26,unchanged,0.73,unchanged,40.19,unchanged,-12.86,unchanged,-9.1,unchanged,-3.75,unchanged,799.88,,,unchanged,751.67,,,unchanged,703.47,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,DMART,Non-Hld,4420,,,unchanged,4700,unchanged,4306.6,,,unchanged,2.64,unchanged,5093.4,,,unchanged,15.24,unchanged,0.53,unchanged,36.45,unchanged,-24.55,unchanged,18.11,unchanged,-42.66,unchanged,4846.35,,,unchanged,4631.18,,,unchanged,4416,,,,,,,,,,,Volatile Wide Range (BB within Res-Support)
03-10-2025,28-Oct-25,DRREDDY,Non-Hld,1247.8,,,unchanged,1300,unchanged,1230.4,,,unchanged,1.42,unchanged,1369.6,,,unchanged,9.77,unchanged,0.66,unchanged,42.95,unchanged,-6.83,unchanged,1.99,unchanged,-8.82,unchanged,1345.98,,,unchanged,1284.42,,,unchanged,1222.85,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,EICHERMOT,Non-Hld,6935,,,unchanged,7000,unchanged,6712.5,,,unchanged,3.32,unchanged,7287.5,,,unchanged,5.09,unchanged,0.67,unchanged,65.36,unchanged,210.82,unchanged,247.56,unchanged,-36.74,unchanged,7126.85,,,unchanged,6909.52,,,unchanged,6692.2,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,ETERNAL,Non-Hld,328.2,,,unchanged,320,unchanged,295.95,,,unchanged,10.9,unchanged,344.05,,,unchanged,4.83,unchanged,0.63,unchanged,53.41,unchanged,3.26,unchanged,4.94,unchanged,-1.68,unchanged,340.94,,,unchanged,329.44,,,unchanged,317.93,,,,,,,,,,,Volatile Wide Range (BB within Res-Support)
03-10-2025,28-Oct-25,EXIDEIND,Non-Hld,398,,,unchanged,400,unchanged,380.15,,,unchanged,4.7,unchanged,419.85,,,unchanged,5.49,unchanged,0.71,unchanged,46.42,unchanged,-2.55,unchanged,0.39,unchanged,-2.94,unchanged,435.67,,,unchanged,409.19,,,unchanged,382.7,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,FEDERALBNK,Non-Hld,192.25,,,unchanged,200,unchanged,189.7,,,unchanged,1.35,unchanged,210.3,,,unchanged,9.39,unchanged,0.64,unchanged,43.72,unchanged,-1.02,unchanged,-0.9,unchanged,-0.13,unchanged,199.52,,,unchanged,194.29,,,unchanged,189.07,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,FORTIS,Non-Hld,980,,,unchanged,1000,unchanged,948.8,,,unchanged,3.29,unchanged,1051.2,,,unchanged,7.27,unchanged,0.83,unchanged,60.13,unchanged,13.77,unchanged,14.69,unchanged,-0.92,unchanged,989.73,,,unchanged,962.75,,,unchanged,935.77,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
